公開/特許番号,公開/登録日,発明の名称,出願番号,出願日,出願人,発明者,要約_課題,要約_解決手段
特開2024-79709,令和6年6月11日,視力矯正手術の推薦方法及び装置,特願2024-38303,令和6年3月12日,"['ビジュウォクス', 'ＴＲＹ国際弁理士法人']","['キム  ジンク', 'リュウ  イクヒ']",医師の判断を補助したり、医師、相談者及び被検者などに対して、客観的な視力矯正手術の推薦及び関連情報を提供すること。,本発明の人工知能を利用する視力矯正手術の推薦方法は、被検者の検診データを取得する段階と、前記検診データから前記被検者の視力矯正手術の適合性の有無を予測する段階と、前記被検者に視力矯正手術が適合する場合、前記検診データから前記被検者にレーザーを利用する視力矯正手術可能の有無を予測する段階と、前記視力矯正手術が可能な場合、カスタム視力矯正手術が必要であるか否かに対する判断に利用されるように、前記検診データから前記被検者のスタンダード視力矯正手術後の角膜形状因子予測値及びカスタム視力矯正手術後の角膜形状因子予測値を算出する段階と、及び、前記レーザーを利用する視力矯正手術が可能な場合、前記検診データから前記被検者に対応する視力矯正手術を提案する段階と、を含む。 【選択図】図３５ 請求の範囲 開く 詳細な説明 開く 図面 開く
特開2024-79012,令和6年6月11日,薬剤判定システム,特願2022-191695,令和4年11月30日,"['株式会社  英技研', '弁理士法人むつきパートナーズ', '新井  信昭', '学校法人東京女子医科大学', '弁理士法人むつきパートナーズ']","['永塚  徹', '内田  邦子', '内田  朋子']",与薬者承認を可能とする手段を設けることにより不鮮明データをも学習対象として使用できる薬剤判定システムを提供する。,処方薬剤と、服用者に与薬者が与薬する与薬薬剤との一致不一致を判定する薬剤判定システムであって、人工知能解析部（９）は、与薬画像データ記憶部（６）に記憶された与薬画像データを、学習済みモデル作成部（７）が与薬画像データに対応する処方薬剤データに基づいて作成した学習済みモデルを用いて、人工知能により解析して解析結果を導き出す。解析結果が不一致であるとき、当該不一致に係る与薬画像データと処方薬剤データとの一致を与薬者が承認して人工知能解析部に一致の解析結果を導き出させることができ、不鮮明のため不一致と解析された与薬画像データに係る与薬薬剤を与薬者が目視承認可能であり、不鮮明データをも学習対象として使用できる。 【選択図】図４ 請求の範囲 開く 詳細な説明 開く 図面 開く
特開2024-78905,令和6年6月11日,危険方向教示ディバイス,特願2022-191518,令和4年11月30日,['公立大学法人公立諏訪東京理科大学'],"['橋元  伸晃', '田中  駿佑']",一側性難聴者は聴力が片側に限定されるため、音源定位が困難である。一側性難聴者は、日常生活において危険が迫っている場合、危険音の方向認識ができず、危険感知が遅れてしまう可能性がある。本発明により危険音の方向を皮膚に知らせることで、一側性難聴者の定位認識のサポートを提供する。,危険音の判断手段と、指向性音源収集手段、皮膚刺激手段からなる危険方向教示ディバイスである。 危険音の判断手段で、特定の危険音を認識した場合、前記指向性音源収集手段と、前記皮膚刺激手段が起動する。前記指向性音源収集手段で前記特定の危険音の危険方向を含む情報を収集し、前記皮膚刺激手段で、収集された危険方向を装着者の体に伝達する。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く
特開2024-78328,令和6年6月10日,防犯用放水設備,特願2022-190818,令和4年11月29日,"['能美防災株式会社', '彩雲弁理士法人']",['渡邊  ひろみ'],より大容量且つ高圧の水を供給可能な防犯放水設備を提供する。,消火設備２が設けられた施設に設置される防犯用放水設備１において、放水手段１０と、通信手段１１と、を備えるものとし、放水手段１１を、送水手段２１を介して、水源２０と接続し、送水手段２１及び水源２０は、消火設備２と共有とし、通信手段１１を、少なくとも受信機能を有し、直接的又は間接的に遠隔操作機器３と通信可能に設け、放水手段１０を、通信手段１１が、遠隔操作機器３からの放水信号を受信した際に、放水を開始するものとする。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く
特開2024-78006,令和6年6月10日,収穫作業車両,特願2022-190296,令和4年11月29日,['井関農機株式会社'],"['西野  栄治', '武井  祐', '稲垣  成祥', '玉田  晋太郎', '小佐野  光', '景浦  宏一', '弓達  武志', '後田  達哉', '楫野  豊', '町田  章紘', '三宅  浩喜', '鈴木  大翔', '相原  研人']",収穫作業車両において、圃場における収穫作物の倒伏状態を早期に検出し、収穫物の品質の良いものを区別して収穫することは困難であった。,収穫車両に撮像装置を設け、画像処理を行い、登録データと比較する等の人工知能による分析で周り刈りの段階で圃場の状態を分析し、作業経路を変更し、収穫物を区分して収穫することで対応する。 【選択図】図３ 請求の範囲 開く 詳細な説明 開く 図面 開く
特開2024-77583,令和6年6月7日,肺容積検査方法及びその装置,特願2023-125500,令和5年8月1日,"['メディカルアイピー・カンパニー・リミテッド', '村山  靖彦', '実広  信哉', '阿部  達彦']","['朴  相準', '尹  淳鎬', '金  炯▲ジン▼', 'ヨセフ・ナタナエル・ウィタント', '金  鐘▲ミン▼']",肺容積検査方法及びその装置を提供する。,肺容積検査方法及びその装置に係り、該肺容積検査装置は、患者の二次元医療映像と臨床情報とを人工知能モデルに入力し、患者の肺容積を把握し、該人工知能モデルは、二次元医療映像に係わる符号化映像を生成する第１神経網と、該第１神経網の出力値と、臨床情報とを結合したデータから肺容積を含む第２神経網と、を含むものでもある。本発明は、ソウル大学校病院主管の「重症患者向けビッグデータ構築及びＡＩ基盤ＣＤＳＳ開発」事業を介して開発された技術である（課題番号：ＨＩ２１Ｃ１０７４０５００２１、課題固有番号：ＨＩ２１Ｃ１０７４）。 【選択図】図２ 請求の範囲 開く 詳細な説明 開く 図面 開く
特開2024-77564,令和6年6月7日,情報処理システム、情報処理方法、及びプログラム,特願2023-57030,令和5年3月31日,"['グリー株式会社', '弁理士法人坂本国際特許商標事務所']",['白井  暁彦'],仮想空間で利用可能な所定アイテムに対して好適な画像等を対応付ける。,ユーザからの所定入力を取得するユーザ入力取得部と、人工知能により構築された第１機械学習モデルを利用して、第１機械学習モデルに所定入力を入力して得られる特定画像を取得する画像取得部と、仮想空間で利用可能な所定アイテムに対して特定画像を対応付ける対応付け処理部とを備える、情報処理システムが開示される。 【選択図】図２０ 請求の範囲 開く 詳細な説明 開く 図面 開く
抽出不可,抽出不可,マルチホップネットワークを利用したスマートファームの統合管理システム,特願2024-525967,令和4年12月5日,"['ミドバル  カンパニー  リミテッド', '新保  斉']","['キム、ミン  ホ', 'パク、ヘ  ヨン', 'チェ、ギュ  スン', 'キム、ジュン  ヒ']",抽出不可,抽出不可
抽出不可,抽出不可,電気通信ネットワーク内のＯ－Ｃｌｏｕｄノードのスケジューリングを最適化するためのシステム及び方法,特願2025-518777,令和5年1月31日,"['楽天シンフォニー株式会社', '小西  恵', '永岡  重幸', '渡邉  未央子']","['バング，マンミート', 'ボーズ，ジョティ']",抽出不可,抽出不可
特開2024-76980,令和6年6月6日,特許審査支援ボットおよびボットシステム,特願2023-192653,令和5年11月12日,['加古  貴大'],['加古貴大'],従来の特許審査、特許書類作成には時間がかかった,人工知能による特許審査支援ボットを提供する。特に発明に関するデータに対して、受理および拒絶を主張する両方のステートメントを生成し、特許審査プロセスをNISC-MAUプロセスとする体系的かつ標準化された方法や構造で整理する。このNISC-MAUプロセスは、新規性（Novelty）、進歩性（Inventive step）、範囲の適切さ（Scope）、明確性（Clarity）、実施可能性（Manufacturability）、産業上の有用性（Applicability）、単一性（Uniqueness）の評価ステップを含む。 請求の範囲 開く 詳細な説明 開く 図面 開く 手続補正書 開く
特許第7495699号,令和6年5月28日,学習支援システムおよび学習支援方法,特願2023-204251,令和5年12月1日,"['株式会社フォーサイト', '弁理士法人ウィルフォート国際特許事務所']",['山田  浩司'],個々の受講者に好適なアバター講師によって講義を提供することを可能にする。,アバター講師により講義に関するコンテンツを提供する学習支援システムは、受講者に関する情報である受講者情報を記憶する記憶部と、受講者の受講者情報に基づいて、当該受講者に対して講義を行うアバター講師の外面的な特徴を示す外面的特徴情報とアバター講師の内面的な特徴を示す内面的特徴情報とを設定する設定部と、受講者に対して提供するコンテンツのテキストデータを、外面的特徴情報に示された特徴および／または内面的特徴情報に示された特徴に基づいて生成する生成部と、外面的特徴情報に示された特徴を設定したアバター講師がテキストデータを発声するコンテンツを出力する出力部と、内面的特徴情報に基づくアバター講師のプロフィール情報を受講者に提示するプロフィール提示部と、を有する。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く
特開2024-75563,令和6年6月4日,議論ロールプレイゲームプロンプトおよびシステム,特願2023-201257,令和5年11月29日,['加古  貴大'],['加古貴大'],従来のゲームシステムでは静的なスクリプトで、限定された選択肢でした。また言論スキルに着目していませんでいた。,この課題を解決するために、本発明では人工知能を活用した新しいアプローチを提供します。このシステムでは、敵キャラクターとの議論をシミュレートし、言論スキルに基づき、ユーザーに複数の発話候補を提供します。ユーザーの選択に応じて議論の流れが変わり、発話の創造性を促進します。これにより、ユーザーは自身の意見を形成し、異なる戦略を試しながら言論スキルを鍛えることができます。このゲームシステムは、対話を通じて進行する戦闘形式と、特定の言論スキルに基づいて発言候補を生成する点で、既存のゲームやアプリケーションとは異なる新しい特徴を持っています。このようなシステムにより、ユーザーはよりアクティブにゲームに参加し、言論スキルを自然と向上させることができます。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く
特開2024-75549,令和6年6月4日,ＡＩコンパニオンとして対話する人工知能によるチャットボットおよびチャットボットシステム,特願2023-185125,令和5年10月28日,['加古  貴大'],['加古貴大'],従来の共感を目的とするAIコンパニオンでは、ユーザーが直面する日常的なネガティブな感情や思考に対して対応が困難であった。,AIコンパニオンのプロンプトにおいて、中間的推論ステップを含む入出力例を導入した。前記の中間的推論ステップにおいて、AIコンパニオンがユーザーを受け入れるステップ、共感するステップ、関心をもつステップを含む。前記プロンプトにおいて、アシスタントがペルソナとしてロールプレイする指示および、ペルソナの特性、行動指針、入出力例、制約条件を含むことを特徴とする。よりニーズをみたす精神支援が可能となった。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 手続補正書 開く
特開2024-75446,令和6年6月3日,ＡＩ（人工知能）の学習法としてのＧＡＮ（敵対的生成ネットワーク）の自然法則を元にした応用法,特願2022-186956,令和4年11月22日,['大谷  広海'],['大谷  広海'],ＡＩ（人工知能）の学習法としてのＧＡＮ（敵対的生成ネットワーク）の自然法則を元にした応用法に関する発明,本発明はＡＩ（人工知能）の学習法としてのＧＡＮ（敵対的生成ネットワーク）の自然法則を元にした応用法に関する発明である。現在、第三次産業革命と呼ばれるＩＴ革命と第四次産業革命と呼ばれるＡＩ革命が進展している。そこでは、ネットワークを介した効率化に関するビジネスの考案による新しいサービスの展開とそのネットワークを守るためのセキュリティの強化が急がれている。そのような中でＡＩ（人工知能）の学習法としてのＧＡＮ（敵対的生成ネットワーク）の自然法則を元にした応用法は一定程度の意味があると考えられる。このＡＩ（人工知能）の学習法としてのＧＡＮ（敵対的生成ネットワーク）の自然法則を元にした応用法を本特許の基礎請求部分とする。 【選択図】なし 請求の範囲 開く 詳細な説明 開く
特許第7493196号,令和6年5月23日,人工知能を活用した比較動画生成システム、動画生成プログラム、及び、動画生成方法,特願2024-18830,令和6年2月9日,"['株式会社４ＣＯＬＯＲＳ', '弁理士法人みなとみらい特許事務所']",['伊藤  剛'],,人工知能を活用した比較動画生成システムであって、前記動画生成システムは、取得部、及び生成部を備え、動画中で説明される対象に関する第１説明情報を含む比較元動画データをデータベースに格納し、前記取得部は、比較対象に関する第２説明情報を含む比較先データを取得し、前記生成部は、前記第１説明情報及び前記第２説明情報を生成人工知能に入力して、比較説明情報を生成処理し、前記比較説明情報及び前記比較元動画データに基づいて、比較動画を生成する。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く
特開2024-74910,令和6年5月31日,手術ロボット外科手術のための人工知能,特願2024-60154,令和6年4月3日,"['プロセプト  バイオロボティクス  コーポレイション', '山本  秀策', '森下  夏樹', '飯田  貴敏', '石川  大輔', '山本  健策']","['ニコライ  アルジュリ', 'スラグ  マントリ', 'ケビン  ステイド']",好適な手術ロボット外科手術のための人工知能を提供すること。,ロボット外科手術のための装置は、治療される患者から患者データを受信し、複数の治療される患者毎に手術ロボット工学データを受信し、患者データおよび手術ロボット工学データに応答して、治療されるべき患者の治療計画を出力する命令を伴って構成される、プロセッサを備える。本アプローチは、改良された治療転帰を提供するように、患者および外科的システムパラメータの間の個人差に適応する利点を有する。 【選択図】図１８ 請求の範囲 開く 詳細な説明 開く 図面 開く 外国語明細書等 開く
特許第7492789号,令和6年5月22日,未加工ＣＴイメージの幾何学的整列および前処理のための人工知能基盤装置および方法｛Ａｒｔｉｆｉｃｉａｌ  ｉｎｔｅｌｌｉｇｅｎｃｅ－ｂａｓｅｄ  ｄｅｖｉｃｅｓ  ａｎｄ  ｍｅｔｈｏｄｓ  ｆｏｒ  ｇｅｏｍｅｔｒｉｃ  ａｌｉｇｎｍｅｎｔ  ａｎｄ  ｐｒｅｐｒｏｃｅｓｓｉｎｇ  ｏｆ  ｒａｗ  ＣＴ  ｉｍａｇｅｓ｝,特願2023-150856,令和5年9月19日,"['ヒューロン  カンパニー，リミテッド', '弁理士法人太陽国際特許事務所']","['ソン、ジ  ウ', 'ドヒョン  キム', 'ソン、スファ']",本発明は、未加工ＣＴイメージの幾何学的整列および前処理のための人工知能基盤装置および方法に関する。,本発明によれば、各特性によって局所的な誤差に敏感な場合、線形変換のみを適用して中央整列されたＲｉｇｉｄ Ｒｅｇｉｓｔｒａｔｉｏｎの結果を活用することができ、患者間の関心領域を空間的に一致させるか、モニタリングが必要な場合、Ｎｏｎ－ｒｉｇｉｄ Ｒｅｇｉｓｔｒａｔｉｏｎの結果を活用することができる。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く
抽出不可,抽出不可,ニューラルネットワークに基づく量子誤り訂正復号方法、装置、機器、及びチップ,特願2025-511924,令和5年7月24日,"['▲騰▼▲訊▼科技（深▲セン▼）有限公司', '園田・小林弁理士法人']",['鄭一聡'],抽出不可,抽出不可
特開2024-74279,令和6年5月30日,信用できる意思決定のための反復的自己説明型人工知能システム,特願2023-195894,令和5年11月17日,"['エヌイーシー  ラボラトリーズ  ヨーロッパ  ゲーエムベーハー', '村山  靖彦', '実広  信哉', '阿部  達彦']","['ジャオ・シュ', 'ザシャ・ザラライェフ', 'アマール・シェイカー']",信用できる意思決定のための反復的自己説明型人工知能システムを提供すること。,人工知能(AI)システムにおいて自己説明型の決定を生成するための方法は、AIシステムにおいてタスクのためのグラフを受信または定義するステップを含み、グラフはエッジによって接続される複数のノードを含む。メッセージパッシングがグラフのノードの間で実行され、離散注意機構がメッセージパッシングの間に実装され、それにより、各ノードの特徴量は離散表現へと変換され、離散表現は、どの近隣ノードにメッセージが渡されるかに応じて変わる。自己説明型の決定は、メッセージパッシングに基づいてノードの1つのために生成される。 【選択図】図1 請求の範囲 開く 詳細な説明 開く 図面 開く 外国語明細書等 開く
特許第7492218号,令和6年5月21日,エネルギーマネージメントシステム,特願2023-137736,令和5年8月28日,"['株式会社フィールドロジック', '▲高▼山  嘉成']",['小田切  祥一郎'],蓄電池の充放電の制御を容易に行うようにするためのエネルギーマネージメントシステムを提供する。,構内システムにおける消費電力を検出する検出手段と、消費電力の履歴を記憶しておく記憶手段と、検出手段によって検出された消費電力が第１の値を超えた場合に、蓄電システムに対して、放電を行うように指令する放電指令信号送出手段と、検出手段によって検出された消費電力が第２の値を下回った場合に、蓄電システムに対して、充電を行うように指令する充電指令信号送出手段とを備え、蓄電システムの充電及び／又は放電を制御するためのエネルギーマネージメントシステムであって、第１及び第２の値を設定するときに、第１及び第２の値に対応する放電ライン及び充電ラインを表示すると共に、記憶手段に記憶されている消費電力又は消費電力量の履歴を表示し、表示されている放電ライン及び充電ラインをユーザに決定させる。 【選択図】図１２ 請求の範囲 開く 詳細な説明 開く 図面 開く
特開2024-72288,令和6年5月27日,蛍光信号を測定し、ピーク頻度マップを決定し、リスク予測値を提供する方法、画像捕捉および処理デバイス,特願2023-194563,令和5年11月15日,"['クエスト・フォトニック・デバイシーズ・ビー．ブイ．', '弁理士法人酒井国際特許事務所']","['リシェル  ヨハンナ  マリア  ホベリング', 'リチャード  ヨハネス  コルネリス  ミースター', 'トーマス  コープマン', 'ウナイ  パスクアル', 'ジャヤント  チントゥ  ルクマニ  クマール', 'アヌブラタ  ボウミック', 'アリッサ  バルフールト', 'カスパー  ティービエ']",蛍光信号を測定する改善された方法、改善された画像捕捉および処理デバイス、ならびに改善された内視鏡または腹腔鏡を提供する。,画像捕捉デバイス１０は、身体部分４の組織における蛍光信号を測定し、身体部分の表面を撮像する。画像捕捉デバイスは、蛍光画像を捕捉するように構成された蛍光撮像ユニットと、可視光画像を捕捉するように構成された可視光撮像ユニットとを含む。蛍光撮像ユニットは、蛍光画像の時系列を捕捉するようにさらに構成される。処理デバイス１２において、ピーク頻度マップユニットは、蛍光画像の時系列を分析することによって、蛍光画像内の関心領域のピーク頻度マップを決定し、出力ユニットは、可視光画像および／または蛍光画像とともにピーク頻度マップを出力するように構成される。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 外国語明細書等 開く
特開2024-72287,令和6年5月27日,リンパ浮腫誘発蛍光パターンの分類を決定するためのコンピュータベースの臨床意思決定支援システム及び方法,特願2023-194562,令和5年11月15日,"['クエスト・フォトニック・デバイシーズ・ビー．ブイ．', '弁理士法人酒井国際特許事務所']","['リシェル  ヨハンナ  マリア  ホベリング', 'トーマス  コープマン', 'リチャード  ヨハネス  コルネリス  ミースター']",リンパ浮腫誘発蛍光パターンの分類の決定を強化するためのコンピュータベースの臨床意思決定支援システム（ＣＤＳＳ）、及びリンパ浮腫誘発蛍光パターンの分類の決定を強化するコンピュータ実装方法を提供すること。,リンパ浮腫誘発蛍光パターンの分類を決定するためのコンピュータベースの臨床意思決定支援システム（ＣＤＳＳ）６２及び方法。蛍光画像７は、蛍光剤８が添加された身体部分４の組織における蛍光信号の測定から決定される。ＣＤＳＳ６２は、患者６に固有の蛍光画像７が入力特徴として人工知能（ＡＩ）モデル６８に提供される入力インターフェース６４と、蛍光画像７がＡＩモデル６８に適用されてリンパ浮腫誘発蛍光パターンの分類を生成する推論動作を実施するプロセッサ６６と、リンパ浮腫誘発蛍光パターンの分類がユーザに通信されるユーザインターフェース（ＵＩ）１４と、を備える。 【選択図】図８ 請求の範囲 開く 詳細な説明 開く 図面 開く 外国語明細書等 開く
特開2024-71471,令和6年5月24日,レーザ処置中に標的特性を決定するためのシステムおよび方法,特願2024-45081,令和6年3月21日,"['ジャイラス  エーシーエムアイ  インク  ディー／ビー／エー  オリンパス  サージカル  テクノロジーズ  アメリカ', '村山  靖彦', '実広  信哉', '阿部  達彦']","['カート・ジー・シェルトン', 'ジェーン・バロー']",レーザ処置中に標的特性を決定するためのシステムおよび方法を提供すること。,方法は、（ｉ）（ｉ）内視鏡に結合されたビデオセンサから取得された内視鏡画像上の標的または前記標的に近接して位置する物体から反射された光ビームに関連するピクセル数と、（ｉｉ）前記内視鏡の先端から前記標的までの距離との間の関係を取得するステップを含む。方法は、（ｉｉ）処置中に前記標的または前記標的に近接して位置する前記物体から反射された前記光ビームに関連する前記ピクセル数を測定するステップと、（ｉｉｉ）ステップ（ｉ）において取得された前記関係と、ステップ（ｉｉ）において測定された前記ピクセル数とに少なくとも部分的に基づいて、前記標的のサイズ、または前記内視鏡の前記先端から前記標的までの距離のうちの少なくとも１つを決定するステップとをさらに含む。 【選択図】図１Ａ 請求の範囲 開く 詳細な説明 開く 図面 開く 外国語明細書等 開く
特開2024-71343,令和6年5月24日,ＡＩ営業システム,特願2023-119912,令和5年7月24日,"['中村  義一', '名古屋国際弁理士法人']",['中村  義一'],電子商取引において、優れた価格応談のシステムを提供すること。,ＡＩ営業システムでは、価格の応談をする際に、応談の内容について、秘密保持の契約が必要となるように構成されている。また、価格として、表示価格以外に、表示価格より低い容認価格と、容認価格より低い交渉価格とが設定されるとともに、価格の応談は、ＡＩチャットボットを利用して行うように構成されている。さらに、価格の応談の範囲は、ＡＩチャットボットを利用して行う範囲と売主により行う範囲とに区分されている。 【選択図】図６ 請求の範囲 開く 詳細な説明 開く 図面 開く
特開2024-71277,令和6年5月24日,減水剤配合量推定方法、学習済モデル生成方法、推定装置、及びプログラム,特願2022-182135,令和4年11月14日,"['五洋建設株式会社', '弁理士法人  ＨＡＲＡＫＥＮＺＯ  ＷＯＲＬＤ  ＰＡＴＥＮＴ  ＆  ＴＲＡＤＥＭＡＲＫ']","['水野  剣一', '正木  徹', '谷口  修']",施工現場において人工知能を用いることにより簡便に所望の品質のモルタルを製造するためのモルタルへの混和剤（減水剤・高性能減水剤）の配合量を推定する。,情報処理装置（１０）は、第１のモルタル材料の混合条件に関する情報及び目標フロー値を示す情報を取得する第１ステップと、（ｉ）第２のモルタル材料の前記混合条件に関する情報及びフロー実測値を示す情報と、（ｉｉ）前記第２のモルタル材料中の前記減水剤又は高性能減水剤の配合量を示す情報と、の相関関係を機械学習させることにより生成された学習済モデルに、第１ステップにおいて取得した情報を入力することにより、第１のモルタル材料に配合する減水剤又は高性能減水剤の配合量を推定する第２ステップと、第２ステップで推定した結果を出力する第３ステップと、を実行する。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く
抽出不可,抽出不可,毛髪および頭皮の健康分析のためのシステム並びに方法,特願2025-517079,令和5年9月20日,"['フィットスキン  インコーポレイテッド', '弁理士法人ＯＭＮＩ国際特許事務所', '小山  靖']","['ラトナー，セルジオ', 'ビリマス，ジャスティナス']",抽出不可,抽出不可
抽出不可,抽出不可,人工知能認識秤システム、認識方法、コンピュータ機器、コンピュータ可読記憶媒体、及びコンピュータプログラム製品,特願2023-554371,令和4年11月16日,"['ハンショウ  テクノロジー  カンパニー  リミテッド', '弁理士法人太陽国際特許事務所']","['ション  ホアン', 'チャオウェイ  リン', 'ユンカイ  チェン', 'シアオピン  チン']",抽出不可,抽出不可
特開2024-70844,令和6年5月23日,メモリデバイスを動作させるための方法および装置,特願2023-191947,令和5年11月10日,"['ロベルト・ボッシュ・ゲゼルシャフト・ミト・ベシュレンクテル・ハフツング', '山本  修', '松尾  淳一', '藤木  依子']","['タハ・ソリマン', 'トビアス・キルヒナー']",メモリデバイスを動作させるための方法および装置を提供すること。,メモリユニットを有するメモリデバイスを動作させるための方法であって、当該メモリユニットが、双安定フリップフロップと、当該メモリユニットに関連付けられた２つの二次制御ラインと双安定フリップフロップを制御可能に接続するための２つのアクセストランジスタとを有し、２つの二次制御ラインと双安定フリップフロップとの接続が、第１の一次制御ラインによって制御可能であり、両方のアクセストランジスタのうちの少なくとも一方の制御接続端子に制御信号を印加するステップであり、少なくとも１つのアクセストランジスタの負荷経路が、当該負荷経路の高抵抗状態に比べると少なくとも一部導電性である、ステップと、少なくとも１つのアクセストランジスタの負荷経路を通って流れる少なくとも１つの電流を特徴付ける第１の変数を決定するステップとを有する、方法。 【選択図】図３ 請求の範囲 開く 詳細な説明 開く 図面 開く 手続補正書 開く 外国語明細書等 開く
特開2024-70171,令和6年5月22日,死後画像を用いて出血の有無を画像診断支援する装置、方法およびプログラム,特願2022-180618,令和4年11月10日,"['国立大学法人神戸大学', '弁理士法人グローバル知財']","['松尾  秀俊', '杉本  茉里恵', '河野  淳', '上野  易弘', '村上  卓道']",死後画像診断において、ヒトの体腔内における出血の有無、又は、皮下出血もしくは筋出血の有無を高精度で予測可能な画像診断支援方法、画像診断支援装置及び画像診断支援プログラムを提供する。,入力部２、演算処理部３、予測出力部４及びメモリ部５を備える。入力部２は、ＣＴ，ＭＲＩ等の画像取得装置１０で取得した死後画像データ１１を入力するものであり、演算処理部３で予測された出血の有無の予測結果を、予測出力部４から表示装置２０へ出力する。メモリ部５には、画像診断支援プログラム７が格納されており、演算処理部３がプログラム７を実行する。遺体の解剖結果を用いた教師あり死後画像データと、教師あり生前医用画像データとを用いて学習した学習済みの人工知能（ＡＩ）モデル６は、死後画像データからヒトの体腔内における出血の有無、又は、皮下出血や筋出血の有無を高精度で予測する。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く
特開2024-68046,令和6年5月17日,極地運航船舶の統合状態モニタリングシステム及び方法,特願2022-202851,令和4年12月20日,"['コリア  インスティチュート  オブ  オーシャン  サイエンス  アンド  テクノロジー', '杉村  憲司', '杉村  光嗣', '石川  雅章']","['ジョン  ソンヨプ', 'オ  ウンジン', 'ハ  ジョンソク', 'チャン  ジノ']",船舶が極地海域を運航する際、運航情報と環境情報を取得するため極地運航船舶の統合状態モニタリングシステム及び方法を提供する。,極地運航船舶の統合状態モニタリングシステムは、船舶の船首、船尾、左右舷の船側に設置されて氷上環境を撮影する撮影部、及び撮影部によって撮影された映像を基礎として、船舶の統合状態をモニタリングするサーバ、を含むことを特徴とする。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く
抽出不可,抽出不可,人工知能ベースの映像認識システムを含むエンベデッド映像認識安全統合管制プラットフォーム,特願2024-525215,令和5年10月26日,"['ヨンシン  カンパニー  リミテッド', 'キョンウ  システック  インコーポレイテッド', '新保  斉']","['カン、イル  ヒョン', 'チェ、ピョン  ホ', 'キム、ド  グン', 'ノ、ドン  ウォン', 'ユ、ジェ  ゴン', 'チャン、ヨン  ジュン', 'イ、ジョン  ウク']",抽出不可,抽出不可
特開2024-66494,令和6年5月15日,イメージセンサ及びイメージセンサの動作方法,特願2023-184633,令和5年10月27日,"['三星電子株式会社', '伊東  忠重', '伊東  忠彦', '宮崎  修']","['林  奎範', '盧  堯韓', '徐  永一', '李  韓率', '林  卿鐘', '金  制年', '成  烈▲みん▼', '宋  容準', '李  在城']",リアルタイムで人工知能基盤でクラスタバッドピクセルを補正するイメージセンサ及びその動作方法を提供する。,イメージセンサ１００は、受信する光信号を電気信号に変換する複数のセンシングピクセルを含むピクセルアレイ１１０、電気信号をイメージデータに変換し、イメージデータを出力するリードアウト回路１２０及びイメージデータの第１方向の第１クラスタバッドピクセルを含む第１入力データをニューラルネットワークに入力して第１補正されたピクセルデータを生成し、イメージデータの第２方向の第２クラスタバッドピクセルを含む第２入力データを反転して第３入力データを生成し、第３入力データをニューラルネットワークに入力して第２補正されたピクセルデータを生成するバッドピクセル補正部を有するイメージ信号プロセッサ（ＩＳＰ）１３０を含む。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く
特開2024-65847,令和6年5月15日,ズリ搬送システムにおけるディープラーニング方法及びそのディープラーニングによる学習モデルを備えた人工知能が行うベルトコンベアの損傷状況の判別方法,特願2022-174912,令和4年10月31日,"['ドゥヴェディ  ウッタム  クマール', '東京機材工業株式会社', '株式会社アカセ', 'マクセルフロンティア株式会社', '清原  義博', '清原  直己']",['ドゥヴェディ  ウッタム  クマール'],ズリ搬送システムにおいて、ベルトコンベアの損傷状況の高精度な判別が可能なディープラーニング方法及びそのディープラーニングによる学習モデルを備えた人工知能が行うベルトコンベアの損傷状況の高精度な判別方法。,情報処理装置によって、データベースに格納されているディープラーニング用の連続ベルトコンベアの画像データに手書き数字画像を重ね合わせた合成画像データを作成し、及び、データベースに格納されている前記連続ベルトコンベアの表面に損傷を有する損傷画像データに手書き数字画像を重ね合わせた合成画像データを作成及び水増しをし、その合成画像データを基にディープラーニングを行い、学習モデルを構築し、更新し、エッジデバイスに取り込み、エッジデバイスの人工知能（エッジＡＩ）がベルトコンベアの損傷状況を高精度で判別する。 【選択図】図６ 請求の範囲 開く 詳細な説明 開く 図面 開く
